Sample in Buffer,Sample in Window,TRIGGER,us_sensor_0_i/after_echo_count_ff[31:0],object_det_OBUF
571,571,0,000506a1,0
572,572,0,000506a2,0
573,573,0,000506a3,0
574,574,0,000506a4,0
575,575,0,000506a5,0
576,576,0,000506a6,0
577,577,0,000506a7,0
578,578,0,000506a8,0
579,579,0,000506a9,0
580,580,0,000506aa,0
581,581,0,000506ab,0
582,582,0,000506ac,0
583,583,0,000506ad,0
584,584,0,000506ae,0
585,585,0,000506af,0
586,586,0,000506b0,0
587,587,0,000506b1,0
588,588,0,000506b2,0
589,589,0,000506b3,0
590,590,0,000506b4,0
591,591,0,000506b5,0
592,592,0,000506b6,0
593,593,0,000506b7,0
594,594,0,000506b8,0
595,595,0,000506b9,0
596,596,0,000506ba,0
597,597,0,000506bb,0
598,598,0,000506bc,0
599,599,0,000506bd,0
600,600,0,000506be,0
601,601,0,000506bf,0
602,602,0,000506c0,0
603,603,0,000506c1,0
604,604,0,000506c2,0
605,605,0,000506c3,0
606,606,0,000506c4,0
607,607,0,000506c5,0
608,608,0,000506c6,0
609,609,0,000506c7,0
610,610,0,000506c8,0
611,611,0,000506c9,0
612,612,0,000506ca,0
613,613,0,000506cb,0
614,614,0,000506cc,0
615,615,0,000506cd,0
616,616,0,000506ce,0
617,617,0,000506cf,0
618,618,0,000506d0,0
619,619,0,000506d1,0
620,620,0,000506d2,0
621,621,0,000506d3,0
622,622,0,000506d4,0
623,623,0,000506d5,0
624,624,0,000506d6,0
625,625,0,000506d7,0
626,626,0,000506d8,0
627,627,0,000506d9,0
628,628,0,000506da,0
629,629,0,000506db,0
630,630,0,000506dc,0
631,631,0,000506dd,0
632,632,0,000506de,0
633,633,0,000506df,0
634,634,0,000506e0,0
635,635,0,000506e1,0
636,636,0,000506e2,0
637,637,0,000506e3,0
638,638,0,000506e4,0
639,639,0,000506e5,0
640,640,0,000506e6,0
641,641,0,000506e7,0
642,642,0,000506e8,0
643,643,0,000506e9,0
644,644,0,000506ea,0
645,645,0,000506eb,0
646,646,0,000506ec,0
647,647,0,000506ed,0
648,648,0,000506ee,0
649,649,0,000506ef,0
650,650,0,000506f0,0
651,651,0,000506f1,0
652,652,0,000506f2,0
653,653,0,000506f3,0
654,654,0,000506f4,0
655,655,0,000506f5,0
656,656,0,000506f6,0
657,657,0,000506f7,0
658,658,0,000506f8,0
659,659,0,000506f9,0
660,660,0,000506fa,0
661,661,0,000506fb,0
662,662,0,000506fc,0
663,663,0,000506fd,0
664,664,0,000506fe,0
665,665,0,000506ff,0
666,666,0,00050700,0
667,667,0,00050701,0
668,668,0,00050702,0
669,669,0,00050703,0
670,670,0,00050704,0
671,671,0,00050705,0
672,672,0,00050706,0
673,673,0,00050707,0
674,674,0,00050708,0
675,675,0,00050709,0
676,676,0,0005070a,0
677,677,0,0005070b,0
678,678,0,0005070c,0
679,679,0,0005070d,0
680,680,0,0005070e,0
681,681,0,0005070f,0
682,682,0,00050710,0
683,683,0,00050711,0
684,684,0,00050712,0
685,685,0,00050713,0
686,686,0,00050714,0
687,687,0,00050715,0
688,688,0,00050716,0
689,689,0,00050717,0
690,690,0,00050718,0
691,691,0,00050719,0
692,692,0,0005071a,0
693,693,0,0005071b,0
694,694,0,0005071c,0
695,695,0,0005071d,0
696,696,0,0005071e,0
697,697,0,0005071f,0
698,698,0,00050720,0
699,699,0,00050721,0
700,700,0,00050722,0
701,701,0,00050723,0
702,702,0,00050724,0
703,703,0,00050725,0
704,704,0,00050726,0
705,705,0,00050727,0
706,706,0,00050728,0
707,707,0,00050729,0
708,708,0,0005072a,0
709,709,0,0005072b,0
710,710,0,0005072c,0
711,711,0,0005072d,0
712,712,0,0005072e,0
713,713,0,0005072f,0
714,714,0,00050730,0
715,715,0,00050731,0
716,716,0,00050732,0
717,717,0,00050733,0
718,718,0,00050734,0
719,719,0,00050735,0
720,720,0,00050736,0
721,721,0,00050737,0
722,722,0,00050738,0
723,723,0,00050739,0
724,724,0,0005073a,0
725,725,0,0005073b,0
726,726,0,0005073c,0
727,727,0,0005073d,0
728,728,0,0005073e,0
729,729,0,0005073f,0
730,730,0,00050740,0
731,731,0,00050741,0
732,732,0,00050742,0
733,733,0,00050743,0
734,734,0,00050744,0
735,735,0,00050745,0
736,736,0,00050746,0
737,737,0,00050747,0
738,738,0,00050748,0
739,739,0,00050749,0
740,740,0,0005074a,0
741,741,0,0005074b,0
742,742,0,0005074c,0
743,743,0,0005074d,0
744,744,0,0005074e,0
745,745,0,0005074f,0
746,746,0,00050750,0
747,747,0,00050751,0
748,748,0,00050752,0
749,749,0,00050753,0
750,750,0,00050754,0
751,751,0,00050755,0
752,752,0,00050756,0
